,code size (bytes),comp time (ms),exec time (ms),gc time (ms),involuntary context sw,page faults,page reclaims,peak mem usage (KB),total time (ms),voluntary context sw,wall time (ms)
partial-sums,439197.0000000003,418.2995108785855,29.797278723165046,1,1.7617295898720438,1,66762.79999880175,265501.19999367255,448.29954355070174,1,581.6996476788529
v8-crypto,987016.0000000008,777.2985810974003,63.000000000000014,1,2.0827594879848212,1,87871.7999968136,348640.79999632883,840.7989546294999,1,995.9985963872283
3d-morph,427032.0000000003,412.6992615027347,31.197468201907867,1,1.8131474454755332,1,66392.99999849386,263944.7999951507,444.59928097856726,1,577.5992729236569
fasta,447919.0000000003,426.39948369935934,43.00000000000001,1,1.6437518295172258,1,67837.79999734665,269521.59999287646,469.7994042181638,1,603.8994288115499
bits-in-byte,409051.0000000003,401.49943897936924,14.194518996205304,1,1.711769859409705,1,65672.3999981728,261066.39999264572,416.4994592058524,1,548.599416509634
crypto-md5,566497.0000000005,496.89730141008107,15.000000000000002,1,1.7411011265922482,1,71354.79999747744,283356.0000000002,512.697464073052,1,650.4981189447461
deltablue,757493.0000000006,549.4992268989805,20.09781876397024,1,1.6437518295172258,1,78003.79999897446,309953.19999458006,570.0990444068764,1,713.0989558226097
recursive,418541.0000000003,406.09964296846215,16.000000000000004,1,1.8131474454755332,1,66230.69999841467,263156.7999951362,422.79957431066543,1,555.3997839913163
base64,462384.00000000035,438.09966904547673,20.000000000000004,1,1.5157165665103982,1,68424.19999736939,271849.59999293747,458.8994661896437,1,593.2993180799642
3d-raytrace,693591.0000000005,621.6995091292316,30.197385452930043,1,1.888175022589804,1,79662.89999692459,316061.19999468484,651.9992326568254,1,798.4994669660748
navier-stokes,527084.0000000003,559.6992775180364,48.00000000000001,1,1.8131474454755332,1,74794.1999895715,297013.59999353584,608.3991466342105,1,749.4993002427651
nbody,517796.0000000004,498.8995089831621,24.000000000000004,1,1.578436529997654,1,71986.89999659665,286065.59999328846,523.7994656190409,1,662.3992151932838
nsieve-bits,414256.0000000003,407.9995098027438,18.097584566883885,1,1.578436529997654,1,66373.89999932206,263714.7999936296,426.99953161489765,1,559.8995624723736
cordic,454930.00000000035,446.39973126297986,25.000000000000004,1,1.8131474454755332,1,69158.49999674667,274936.7999953446,471.599745475042,1,607.1993739372647
splay,533033.0000000003,463.7983184544416,120.3524151121486,1,1.9663072216374342,1,71143.59999690772,282620.3999974526,584.6919719918615,1,721.7933883787204
spectral-norm,423780.0000000003,415.2992662138791,16.000000000000004,1,1.6245047927124712,1,66814.89999483652,265549.1999936737,431.9995370360449,1,565.2992837148576
richards,586897.0000000005,475.0990639896041,15.000000000000002,1,1.8131474454755332,1,71955.99999722057,285921.5999932851,490.79902252990047,1,628.2988791048078
bitwise-and,409949.0000000003,400.29948768320895,26.796969436839472,1,1.6917263851493571,1,65433.69999839536,260233.19999354446,427.3992515905776,1,559.5992495389303
fannkuch,425013.0000000003,422.9995271857044,25.000000000000004,1,1.711769859409705,1,66835.0999963343,265542.7999936735,448.7995989694631,1,582.2994765322759
crypto-sha1,461010.0000000003,439.9993181805857,14.692723036068129,1,1.888175022589804,1,68959.59999825989,273936.3999973719,454.9993406582261,1,589.8992452192365
v8-raytrace,916809.0000000007,659.8994777338077,65.89477268159482,1,2.258693870913711,1,82140.69999628693,326156.39999779273,726.3991465049604,1,875.0990339557541
3bits-byte,409090.0000000003,401.7998006974845,13.000000000000002,1,1.578436529997654,1,65768.39999817546,261337.19999357173,414.99951807117,1,547.3995978859716
earley-boyer,3108843.000000003,5218.884248621304,115.49891774384731,1,8.069327728973123,1,182674.499957165,712181.5997748921,5334.884309477606,1,5587.484288780553
3d-cube,625439.0000000005,555.2985522965356,27.000000000000004,1,1.888175022589804,1,74540.89999671327,296124.7999956777,582.7986629465736,1,724.9988969296537
nsieve,411961.0000000003,405.598967062994,16.000000000000004,1,1.9307820366865214,1,66114.89999780689,262888.7999951312,421.9990532501947,1,554.3988830205907
binary-trees,439546.0000000003,412.9942271288773,15.000000000000002,1,1.6245047927124712,1,66579.5999936919,264732.79999516514,428.69396586181534,1,561.8953144179442
