,exec time (ms),num itrs,wall time (ms)
partial-sums,38.075,40,13308
v8-crypto,12.4,10,59543
3d-morph,32.225,80,17643
fasta,8.78125,160,18856
bits-in-byte,115.2328125,640,81603
crypto-md5,35.5,40,22885
deltablue,115.5,10,19596
recursive,4.80625,160,9714
base64,3.0875,320,16816
3d-raytrace,5.925,160,40598
navier-stokes,19.775,80,22523
nbody,1.38125,1280,17342
nsieve-bits,4.35625,320,14471
cordic,163.79375,640,115272
splay,51.85,40,44097
spectral-norm,3.0625,80,24145
richards,59.1,20,15734
bitwise-and,6.8,160,10192
fannkuch,16.7125,320,20890
crypto-sha1,18.571875,320,19779
v8-raytrace,4.9375,80,26766
3bits-byte,0.00078125,1280,87004
earley-boyer,83.8,10,38603
3d-cube,20.175,40,26314
nsieve,4.925,160,10466
binary-trees,9.3,80,8567
