,code size (bytes),comp time (ms),exec time (ms),gc time (ms),involuntary context sw,page faults,page reclaims,peak mem usage (KB),total time (ms),voluntary context sw,wall time (ms)
partial-sums,424468.0000000003,413.2995038038524,29.000000000000007,1,1.3741088103166372,1,66507.89999631628,264525.5999927419,442.99954853181134,1,576.0995746779181
v8-crypto,979123.0000000007,781.3977980519024,48.00000000000001,1,2.8470616837581306,1,87733.19999794838,348253.9999942573,830.0976549266741,1,985.3978465352727
3d-morph,424589.0000000003,412.69950345795064,31.098577367126364,1,1.7411011265922482,1,66347.09999630734,263757.1999936307,444.3995046253959,1,577.7995155464829
fasta,443681.0000000003,425.89965952168,41.69746571801664,1,1.7617295898720438,1,67762.89999490877,269313.19999376213,468.0999039760755,1,602.4996268309679
bits-in-byte,407158.0000000003,401.29899107356675,13.096698226720031,1,1.6917263851493571,1,65612.09999779008,260865.59999264008,415.1988443436375,1,547.6987132332217
crypto-md5,560333.0000000005,493.19902705720966,15.000000000000002,1,1.8346295092848035,1,70956.59999830887,281876.7999954592,508.79866431970834,1,646.2985995930502
deltablue,777106.0000000006,553.1993127991419,20.000000000000004,1,1.6917263851493571,1,78030.99999615543,309993.59999380657,573.9994773513614,1,717.1996094992579
recursive,416631.0000000003,405.4994457359058,16.000000000000004,1,1.7411011265922482,1,66162.69999690162,262960.39999726217,421.8991824713857,1,554.6992697179173
base64,453491.00000000035,435.4994838783346,19.000000000000004,1,1.8660659830736148,1,68247.39999824173,271372.39999734703,455.0996814073936,1,589.6996524572637
3d-raytrace,705614.0000000006,623.3993267267281,29.000000000000007,1,2.1074358993444715,1,79558.9999962293,315585.1999946768,652.9995405815527,1,799.6994934844648
navier-stokes,521117.0000000004,560.7986092771664,40.00000000000001,1,1.9663072216374342,1,74603.09999403518,296265.99999324954,600.8989268726078,1,742.2991851968213
nbody,500576.00000000035,491.09868621768715,23.000000000000004,1,1.888175022589804,1,71528.59999552634,284300.3999974677,514.2990172754396,1,652.5988959275913
nsieve-bits,411297.0000000003,406.89890790415694,16.000000000000004,1,1.3741088103166372,1,66271.59999517146,263532.3999972681,423.2990434958348,1,555.998381936435
cordic,452327.00000000035,445.69954020959887,22.000000000000004,1,1.888175022589804,1,69072.79999594636,274489.19999387977,468.19897512229977,1,603.9988410564034
splay,524589.0000000003,461.898821379581,117.18591957459363,1,1.578436529997654,1,70971.59999690019,282181.9999929126,579.5951509650702,1,717.2960964707033
spectral-norm,424036.0000000003,416.5997118615904,16.000000000000004,1,1.6917263851493571,1,66773.79999730438,265357.5999927647,433.39949204394804,1,566.8993915384423
richards,585182.0000000005,474.59932638579335,15.000000000000002,1,1.4309690811052556,1,71868.79999610406,285728.39999748033,490.29917417234475,1,627.9992043270635
bitwise-and,408037.0000000003,400.1995501738975,27.000000000000004,1,1.8131474454755332,1,65368.89999472231,260036.39999723138,427.3992515905776,1,559.9991077781974
fannkuch,426428.0000000003,427.5992513279313,24.000000000000004,1,1.4727333575346888,1,66907.69999693612,265856.39999729197,451.9995575212577,1,585.7993509864981
crypto-sha1,475457.00000000035,445.2995404812288,14.29278966768011,1,1.578436529997654,1,69029.9999985514,274257.59999299946,460.3995227947149,1,595.79953017836
v8-raytrace,1013746.0000000008,699.9978607973743,66.3823035602561,1,2.258693870913711,1,83498.69999874255,331385.1999949306,766.7961190065654,1,917.6960781649749
3bits-byte,407180.0000000003,402.29899358074545,13.000000000000002,1,1.578436529997654,1,65705.19999269475,261142.39999264787,415.398748745363,1,547.8988230932588
earley-boyer,3126131.000000003,5229.479668509137,114.59808509269243,1,7.844314953088891,1,183022.899978445,713463.5998509757,5344.57973411836,1,5597.880163933977
3d-cube,624010.0000000005,557.4992379881734,25.000000000000004,1,1.6917263851493571,1,74498.99999597315,295913.59999351186,583.0990651131971,1,725.598869789834
nsieve,409507.0000000003,404.5994566426812,13.89663233048171,1,1.4727333575346888,1,66032.59999666836,262436.7999951228,418.69951057080885,1,551.3992382218809
binary-trees,433753.00000000035,411.0996473105846,15.000000000000002,1,1.578436529997654,1,66483.89999631494,264288.3999972759,426.4997069166638,1,559.6998123100391
